,geoname,geocode,quantidade,habilidades
25,São Paulo,BR-SP,76,Inteligência Artificial
26,Tocantins,BR-TO,57,Inteligência Artificial
0,Acre,BR-AC,0,Inteligência de Negócio
1,Alagoas,BR-AL,0,Inteligência de Negócio
2,Amapá,BR-AP,0,Inteligência de Negócio
3,Amazonas,BR-AM,0,Inteligência de Negócio
4,Bahia,BR-BA,0,Inteligência de Negócio
5,Ceará,BR-CE,0,Inteligência de Negócio
6,Distrito Federal,BR-DF,0,Inteligência de Negócio
7,Espírito Santo,BR-ES,0,Inteligência de Negócio
8,Goiás,BR-GO,0,Inteligência de Negócio
9,Maranhão,BR-MA,0,Inteligência de Negócio
10,Mato Grosso,BR-MT,0,Inteligência de Negócio
11,Mato Grosso do Sul,BR-MS,0,Inteligência de Negócio
12,Minas Gerais,BR-MG,100,Inteligência de Negócio
13,Paraná,BR-PR,0,Inteligência de Negócio
14,Paraíba,BR-PB,0,Inteligência de Negócio
15,Pará,BR-PA,0,Inteligência de Negócio
16,Pernambuco,BR-PE,0,Inteligência de Negócio
17,Piauí,BR-PI,0,Inteligência de Negócio
18,Rio Grande do Norte,BR-RN,0,Inteligência de Negócio
19,Rio Grande do Sul,BR-RS,0,Inteligência de Negócio
20,Rio de Janeiro,BR-RJ,0,Inteligência de Negócio
21,Rondônia,BR-RO,0,Inteligência de Negócio
22,Roraima,BR-RR,0,Inteligência de Negócio
23,Santa Catarina,BR-SC,0,Inteligência de Negócio
24,Sergipe,BR-SE,0,Inteligência de Negócio
25,São Paulo,BR-SP,84,Inteligência de Negócio
26,Tocantins,BR-TO,0,Inteligência de Negócio
0,Acre,BR-AC,82,TI
1,Alagoas,BR-AL,67,TI
2,Amapá,BR-AP,81,TI
3,Amazonas,BR-AM,81,TI
4,Bahia,BR-BA,70,TI
5,Ceará,BR-CE,71,TI
6,Distrito Federal,BR-DF,92,TI
7,Espírito Santo,BR-ES,82,TI
8,Goiás,BR-GO,67,TI
9,Maranhão,BR-MA,82,TI
10,Mato Grosso,BR-MT,70,TI
11,Mato Grosso do Sul,BR-MS,65,TI
12,Minas Gerais,BR-MG,71,TI
13,Paraná,BR-PR,68,TI
14,Paraíba,BR-PB,79,TI
15,Pará,BR-PA,78,TI
16,Pernambuco,BR-PE,100,TI
17,Piauí,BR-PI,61,TI
18,Rio Grande do Norte,BR-RN,71,TI
19,Rio Grande do Sul,BR-RS,69,TI
20,Rio de Janeiro,BR-RJ,81,TI
21,Rondônia,BR-RO,73,TI
22,Roraima,BR-RR,90,TI
23,Santa Catarina,BR-SC,68,TI
24,Sergipe,BR-SE,62,TI
25,São Paulo,BR-SP,76,TI
26,Tocantins,BR-TO,72,TI
0,Acre,BR-AC,0,Coleta de Dados
1,Alagoas,BR-AL,74,Coleta de Dados
2,Amapá,BR-AP,99,Coleta de Dados
3,Amazonas,BR-AM,100,Coleta de Dados
4,Bahia,BR-BA,69,Coleta de Dados
5,Ceará,BR-CE,54,Coleta de Dados
6,Distrito Federal,BR-DF,54,Coleta de Dados
7,Espírito Santo,BR-ES,46,Coleta de Dados
8,Goiás,BR-GO,59,Coleta de Dados
9,Maranhão,BR-MA,74,Coleta de Dados
10,Mato Grosso,BR-MT,67,Coleta de Dados
11,Mato Grosso do Sul,BR-MS,56,Coleta de Dados
12,Minas Gerais,BR-MG,45,Coleta de Dados
13,Paraná,BR-PR,38,Coleta de Dados
14,Paraíba,BR-PB,51,Coleta de Dados
15,Pará,BR-PA,85,Coleta de Dados
16,Pernambuco,BR-PE,51,Coleta de Dados
17,Piauí,BR-PI,74,Coleta de Dados
18,Rio Grande do Norte,BR-RN,48,Coleta de Dados
19,Rio Grande do Sul,BR-RS,52,Coleta de Dados
20,Rio de Janeiro,BR-RJ,33,Coleta de Dados
21,Rondônia,BR-RO,77,Coleta de Dados
22,Roraima,BR-RR,0,Coleta de Dados
23,Santa Catarina,BR-SC,50,Coleta de Dados
24,Sergipe,BR-SE,40,Coleta de Dados
25,São Paulo,BR-SP,35,Coleta de Dados
26,Tocantins,BR-TO,60,Coleta de Dados
0,Acre,BR-AC,100,Fluxos
1,Alagoas,BR-AL,46,Fluxos
2,Amapá,BR-AP,89,Fluxos
3,Amazonas,BR-AM,69,Fluxos
4,Bahia,BR-BA,61,Fluxos
5,Ceará,BR-CE,57,Fluxos
6,Distrito Federal,BR-DF,46,Fluxos
7,Espírito Santo,BR-ES,57,Fluxos
8,Goiás,BR-GO,64,Fluxos
9,Maranhão,BR-MA,82,Fluxos
10,Mato Grosso,BR-MT,60,Fluxos
11,Mato Grosso do Sul,BR-MS,50,Fluxos
12,Minas Gerais,BR-MG,51,Fluxos
13,Paraná,BR-PR,42,Fluxos
14,Paraíba,BR-PB,71,Fluxos
15,Pará,BR-PA,60,Fluxos
16,Pernambuco,BR-PE,60,Fluxos
17,Piauí,BR-PI,72,Fluxos
18,Rio Grande do Norte,BR-RN,59,Fluxos
19,Rio Grande do Sul,BR-RS,41,Fluxos
20,Rio de Janeiro,BR-RJ,34,Fluxos
21,Rondônia,BR-RO,79,Fluxos
22,Roraima,BR-RR,68,Fluxos
23,Santa Catarina,BR-SC,45,Fluxos
24,Sergipe,BR-SE,59,Fluxos
25,São Paulo,BR-SP,44,Fluxos
26,Tocantins,BR-TO,99,Fluxos
