,date,quantidade,isPartial,habilidades
1,2021-12-19,14,False,Comunicação
2,2021-12-26,100,False,Comunicação
3,2022-01-02,20,False,Comunicação
4,2022-01-09,22,False,Comunicação
5,2022-01-16,20,False,Comunicação
6,2022-01-23,23,False,Comunicação
7,2022-01-30,27,False,Comunicação
8,2022-02-06,32,False,Comunicação
9,2022-02-13,41,False,Comunicação
10,2022-02-20,37,False,Comunicação
11,2022-02-27,31,False,Comunicação
12,2022-03-06,40,False,Comunicação
13,2022-03-13,42,False,Comunicação
14,2022-03-20,40,False,Comunicação
15,2022-03-27,43,False,Comunicação
16,2022-04-03,44,False,Comunicação
17,2022-04-10,33,False,Comunicação
18,2022-04-17,38,False,Comunicação
19,2022-04-24,42,False,Comunicação
20,2022-05-01,43,False,Comunicação
21,2022-05-08,40,False,Comunicação
22,2022-05-15,38,False,Comunicação
23,2022-05-22,41,False,Comunicação
24,2022-05-29,41,False,Comunicação
25,2022-06-05,40,False,Comunicação
26,2022-06-12,38,False,Comunicação
27,2022-06-19,37,False,Comunicação
28,2022-06-26,35,False,Comunicação
29,2022-07-03,31,False,Comunicação
30,2022-07-10,29,False,Comunicação
31,2022-07-17,27,False,Comunicação
32,2022-07-24,29,False,Comunicação
33,2022-07-31,33,False,Comunicação
34,2022-08-07,34,False,Comunicação
35,2022-08-14,40,False,Comunicação
36,2022-08-21,38,False,Comunicação
37,2022-08-28,44,False,Comunicação
38,2022-09-04,35,False,Comunicação
39,2022-09-11,39,False,Comunicação
40,2022-09-18,43,False,Comunicação
41,2022-09-25,37,False,Comunicação
42,2022-10-02,31,False,Comunicação
43,2022-10-09,33,False,Comunicação
44,2022-10-16,36,False,Comunicação
45,2022-10-23,38,False,Comunicação
46,2022-10-30,31,False,Comunicação
47,2022-11-06,40,False,Comunicação
48,2022-11-13,40,False,Comunicação
49,2022-11-20,36,False,Comunicação
50,2022-11-27,36,False,Comunicação
0,2021-12-12,53,False,Planejamento
1,2021-12-19,33,False,Planejamento
2,2021-12-26,36,False,Planejamento
3,2022-01-02,55,False,Planejamento
4,2022-01-09,53,False,Planejamento
5,2022-01-16,49,False,Planejamento
6,2022-01-23,55,False,Planejamento
7,2022-01-30,72,False,Planejamento
8,2022-02-06,76,False,Planejamento
9,2022-02-13,86,False,Planejamento
10,2022-02-20,75,False,Planejamento
11,2022-02-27,76,False,Planejamento
12,2022-03-06,91,False,Planejamento
13,2022-03-13,86,False,Planejamento
14,2022-03-20,91,False,Planejamento
15,2022-03-27,86,False,Planejamento
16,2022-04-03,99,False,Planejamento
17,2022-04-10,74,False,Planejamento
18,2022-04-17,85,False,Planejamento
19,2022-04-24,69,False,Planejamento
20,2022-05-01,89,False,Planejamento
21,2022-05-08,75,False,Planejamento
22,2022-05-15,81,False,Planejamento
23,2022-05-22,83,False,Planejamento
24,2022-05-29,100,False,Planejamento
25,2022-06-05,83,False,Planejamento
26,2022-06-12,64,False,Planejamento
27,2022-06-19,68,False,Planejamento
28,2022-06-26,65,False,Planejamento
29,2022-07-03,56,False,Planejamento
30,2022-07-10,48,False,Planejamento
31,2022-07-17,48,False,Planejamento
32,2022-07-24,55,False,Planejamento
33,2022-07-31,58,False,Planejamento
34,2022-08-07,59,False,Planejamento
35,2022-08-14,66,False,Planejamento
36,2022-08-21,67,False,Planejamento
37,2022-08-28,76,False,Planejamento
38,2022-09-04,64,False,Planejamento
39,2022-09-11,73,False,Planejamento
40,2022-09-18,76,False,Planejamento
41,2022-09-25,83,False,Planejamento
42,2022-10-02,59,False,Planejamento
43,2022-10-09,61,False,Planejamento
44,2022-10-16,67,False,Planejamento
45,2022-10-23,77,False,Planejamento
46,2022-10-30,63,False,Planejamento
47,2022-11-06,77,False,Planejamento
48,2022-11-13,74,False,Planejamento
49,2022-11-20,76,False,Planejamento
50,2022-11-27,73,False,Planejamento
0,2021-12-12,52,False,Modelagem
1,2021-12-19,41,False,Modelagem
2,2021-12-26,40,False,Modelagem
3,2022-01-02,47,False,Modelagem
4,2022-01-09,52,False,Modelagem
5,2022-01-16,48,False,Modelagem
6,2022-01-23,54,False,Modelagem
7,2022-01-30,56,False,Modelagem
8,2022-02-06,60,False,Modelagem
9,2022-02-13,69,False,Modelagem
10,2022-02-20,64,False,Modelagem
11,2022-02-27,58,False,Modelagem
12,2022-03-06,100,False,Modelagem
13,2022-03-13,79,False,Modelagem
14,2022-03-20,83,False,Modelagem
15,2022-03-27,75,False,Modelagem
16,2022-04-03,80,False,Modelagem
17,2022-04-10,75,False,Modelagem
18,2022-04-17,70,False,Modelagem
19,2022-04-24,79,False,Modelagem
20,2022-05-01,84,False,Modelagem
21,2022-05-08,76,False,Modelagem
22,2022-05-15,70,False,Modelagem
23,2022-05-22,89,False,Modelagem
24,2022-05-29,81,False,Modelagem
25,2022-06-05,83,False,Modelagem
26,2022-06-12,72,False,Modelagem
27,2022-06-19,82,False,Modelagem
28,2022-06-26,62,False,Modelagem
29,2022-07-03,67,False,Modelagem
30,2022-07-10,64,False,Modelagem
31,2022-07-17,58,False,Modelagem
32,2022-07-24,63,False,Modelagem
33,2022-07-31,64,False,Modelagem
34,2022-08-07,67,False,Modelagem
35,2022-08-14,66,False,Modelagem
36,2022-08-21,69,False,Modelagem
37,2022-08-28,63,False,Modelagem
38,2022-09-04,69,False,Modelagem
39,2022-09-11,75,False,Modelagem
40,2022-09-18,81,False,Modelagem
41,2022-09-25,78,False,Modelagem
42,2022-10-02,59,False,Modelagem
43,2022-10-09,61,False,Modelagem
44,2022-10-16,68,False,Modelagem
45,2022-10-23,84,False,Modelagem
46,2022-10-30,66,False,Modelagem
47,2022-11-06,73,False,Modelagem
48,2022-11-13,73,False,Modelagem
49,2022-11-20,73,False,Modelagem
50,2022-11-27,66,False,Modelagem
0,2021-12-12,81,False,Foco
