,date,quantidade,isPartial,ferramenta
47,2022-11-06,91,False,Banco de Dados
48,2022-11-13,88,False,Banco de Dados
49,2022-11-20,78,False,Banco de Dados
50,2022-11-27,85,False,Banco de Dados
0,2021-12-12,45,False,Pacote Office
1,2021-12-19,27,False,Pacote Office
2,2021-12-26,35,False,Pacote Office
3,2022-01-02,76,False,Pacote Office
4,2022-01-09,91,False,Pacote Office
5,2022-01-16,78,False,Pacote Office
6,2022-01-23,89,False,Pacote Office
7,2022-01-30,87,False,Pacote Office
8,2022-02-06,95,False,Pacote Office
9,2022-02-13,100,False,Pacote Office
10,2022-02-20,95,False,Pacote Office
11,2022-02-27,80,False,Pacote Office
12,2022-03-06,87,False,Pacote Office
13,2022-03-13,95,False,Pacote Office
14,2022-03-20,91,False,Pacote Office
15,2022-03-27,86,False,Pacote Office
16,2022-04-03,77,False,Pacote Office
17,2022-04-10,69,False,Pacote Office
18,2022-04-17,73,False,Pacote Office
19,2022-04-24,84,False,Pacote Office
20,2022-05-01,80,False,Pacote Office
21,2022-05-08,81,False,Pacote Office
22,2022-05-15,79,False,Pacote Office
23,2022-05-22,76,False,Pacote Office
24,2022-05-29,79,False,Pacote Office
25,2022-06-05,71,False,Pacote Office
26,2022-06-12,68,False,Pacote Office
27,2022-06-19,73,False,Pacote Office
28,2022-06-26,69,False,Pacote Office
29,2022-07-03,74,False,Pacote Office
30,2022-07-10,75,False,Pacote Office
31,2022-07-17,70,False,Pacote Office
32,2022-07-24,66,False,Pacote Office
33,2022-07-31,81,False,Pacote Office
34,2022-08-07,76,False,Pacote Office
35,2022-08-14,75,False,Pacote Office
36,2022-08-21,73,False,Pacote Office
37,2022-08-28,75,False,Pacote Office
38,2022-09-04,71,False,Pacote Office
39,2022-09-11,70,False,Pacote Office
40,2022-09-18,66,False,Pacote Office
41,2022-09-25,75,False,Pacote Office
42,2022-10-02,55,False,Pacote Office
43,2022-10-09,63,False,Pacote Office
44,2022-10-16,57,False,Pacote Office
45,2022-10-23,65,False,Pacote Office
46,2022-10-30,52,False,Pacote Office
47,2022-11-06,64,False,Pacote Office
48,2022-11-13,61,False,Pacote Office
49,2022-11-20,69,False,Pacote Office
50,2022-11-27,63,False,Pacote Office
0,2021-12-12,62,False,SQL
1,2021-12-19,45,False,SQL
2,2021-12-26,48,False,SQL
3,2022-01-02,59,False,SQL
4,2022-01-09,82,False,SQL
5,2022-01-16,74,False,SQL
6,2022-01-23,78,False,SQL
7,2022-01-30,85,False,SQL
8,2022-02-06,88,False,SQL
9,2022-02-13,94,False,SQL
10,2022-02-20,89,False,SQL
11,2022-02-27,69,False,SQL
12,2022-03-06,83,False,SQL
13,2022-03-13,91,False,SQL
14,2022-03-20,90,False,SQL
15,2022-03-27,100,False,SQL
16,2022-04-03,98,False,SQL
17,2022-04-10,86,False,SQL
18,2022-04-17,82,False,SQL
19,2022-04-24,99,False,SQL
20,2022-05-01,98,False,SQL
21,2022-05-08,100,False,SQL
22,2022-05-15,92,False,SQL
23,2022-05-22,94,False,SQL
24,2022-05-29,95,False,SQL
25,2022-06-05,95,False,SQL
26,2022-06-12,78,False,SQL
27,2022-06-19,94,False,SQL
28,2022-06-26,94,False,SQL
29,2022-07-03,94,False,SQL
30,2022-07-10,94,False,SQL
31,2022-07-17,91,False,SQL
32,2022-07-24,91,False,SQL
33,2022-07-31,91,False,SQL
34,2022-08-07,94,False,SQL
35,2022-08-14,93,False,SQL
36,2022-08-21,94,False,SQL
37,2022-08-28,97,False,SQL
38,2022-09-04,76,False,SQL
39,2022-09-11,97,False,SQL
40,2022-09-18,98,False,SQL
41,2022-09-25,92,False,SQL
42,2022-10-02,79,False,SQL
43,2022-10-09,79,False,SQL
44,2022-10-16,91,False,SQL
45,2022-10-23,90,False,SQL
46,2022-10-30,75,False,SQL
47,2022-11-06,93,False,SQL
48,2022-11-13,88,False,SQL
49,2022-11-20,87,False,SQL
50,2022-11-27,86,False,SQL
0,2021-12-12,77,False,SAP
1,2021-12-19,66,False,SAP
2,2021-12-26,64,False,SAP
3,2022-01-02,71,False,SAP
4,2022-01-09,79,False,SAP
5,2022-01-16,72,False,SAP
6,2022-01-23,73,False,SAP
7,2022-01-30,84,False,SAP
8,2022-02-06,74,False,SAP
9,2022-02-13,86,False,SAP
10,2022-02-20,76,False,SAP
11,2022-02-27,66,False,SAP
12,2022-03-06,73,False,SAP
13,2022-03-13,76,False,SAP
14,2022-03-20,80,False,SAP
15,2022-03-27,79,False,SAP
16,2022-04-03,77,False,SAP
17,2022-04-10,72,False,SAP
18,2022-04-17,67,False,SAP
19,2022-04-24,81,False,SAP
20,2022-05-01,82,False,SAP
21,2022-05-08,82,False,SAP
22,2022-05-15,74,False,SAP
23,2022-05-22,84,False,SAP
24,2022-05-29,80,False,SAP
25,2022-06-05,80,False,SAP
26,2022-06-12,77,False,SAP
27,2022-06-19,78,False,SAP
28,2022-06-26,81,False,SAP
29,2022-07-03,78,False,SAP
30,2022-07-10,79,False,SAP
31,2022-07-17,82,False,SAP
32,2022-07-24,80,False,SAP
33,2022-07-31,75,False,SAP
34,2022-08-07,77,False,SAP
35,2022-08-14,77,False,SAP
36,2022-08-21,100,False,SAP
37,2022-08-28,86,False,SAP
38,2022-09-04,77,False,SAP
39,2022-09-11,73,False,SAP
40,2022-09-18,80,False,SAP
41,2022-09-25,78,False,SAP
42,2022-10-02,72,False,SAP
43,2022-10-09,74,False,SAP
44,2022-10-16,91,False,SAP
45,2022-10-23,78,False,SAP
46,2022-10-30,74,False,SAP
47,2022-11-06,87,False,SAP
48,2022-11-13,75,False,SAP
49,2022-11-20,70,False,SAP
50,2022-11-27,75,False,SAP
0,2021-12-12,50,False,Python
1,2021-12-19,44,False,Python
2,2021-12-26,48,False,Python
3,2022-01-02,72,False,Python
4,2022-01-09,83,False,Python
5,2022-01-16,75,False,Python
6,2022-01-23,86,False,Python
7,2022-01-30,78,False,Python
8,2022-02-06,86,False,Python
9,2022-02-13,88,False,Python
10,2022-02-20,87,False,Python
11,2022-02-27,81,False,Python
12,2022-03-06,84,False,Python
13,2022-03-13,91,False,Python
14,2022-03-20,90,False,Python
15,2022-03-27,95,False,Python
16,2022-04-03,98,False,Python
17,2022-04-10,94,False,Python
18,2022-04-17,96,False,Python
19,2022-04-24,99,False,Python
20,2022-05-01,99,False,Python
21,2022-05-08,100,False,Python
22,2022-05-15,94,False,Python
23,2022-05-22,85,False,Python
24,2022-05-29,90,False,Python
25,2022-06-05,91,False,Python
26,2022-06-12,83,False,Python
