,Unnamed: 0,value,formattedValue,hasData,link,topic_mid,topic_title,topic_type,ferramenta
19,19,2,2,True,/trends/explore?q=/m/07k1x&date=today+12-m&geo=BR,/m/07k1x,Ferramenta,Assunto,Analytics
20,20,2,2,True,/trends/explore?q=/m/05h5pjx&date=today+12-m&geo=BR,/m/05h5pjx,Google Search Console,Site,Analytics
21,21,2,2,True,/trends/explore?q=/m/02kwz2&date=today+12-m&geo=BR,/m/02kwz2,Inteligência,Assunto,Analytics
22,22,1,1,True,/trends/explore?q=/m/0chln1&date=today+12-m&geo=BR,/m/0chln1,Relatório,Assunto,Analytics
23,23,1,1,True,/trends/explore?q=/m/011c5yl3&date=today+12-m&geo=BR,/m/011c5yl3,Firebase,Empresa,Analytics
24,24,1,1,True,/trends/explore?q=/g/11fmgy30gx&date=today+12-m&geo=BR,/g/11fmgy30gx,Google Data Studio,Assunto,Analytics
0,0,100,100,True,/trends/explore?q=/m/05njw&date=today+12-m&geo=BR,/m/05njw,Oracle Corporation,Empresa,Oracle
1,1,30,30,True,/trends/explore?q=/m/01vw9z&date=today+12-m&geo=BR,/m/01vw9z,Oracle,Banco de dados,Oracle
2,2,10,10,True,/trends/explore?q=/m/075st&date=today+12-m&geo=BR,/m/075st,SQL,Linguagem de programação,Oracle
3,3,6,6,True,/trends/explore?q=/m/02y_9m3&date=today+12-m&geo=BR,/m/02y_9m3,Computação em nuvem,Assunto,Oracle
4,4,5,5,True,/trends/explore?q=/m/02bc6&date=today+12-m&geo=BR,/m/02bc6,Banco de dados,Gênero do formato do arquivo,Oracle
5,5,5,5,True,/trends/explore?q=/g/11h9q1kdd2&date=today+12-m&geo=BR,/g/11h9q1kdd2,Oracle Cloud,Assunto,Oracle
6,6,4,4,True,/trends/explore?q=/m/026sq&date=today+12-m&geo=BR,/m/026sq,Dados,Assunto,Oracle
7,7,4,4,True,/trends/explore?q=/m/05ph_c&date=today+12-m&geo=BR,/m/05ph_c,Tabela,Banco de dados,Oracle
8,8,3,3,True,/trends/explore?q=/m/0310xh&date=today+12-m&geo=BR,/m/0310xh,Select,SQL,Oracle
9,9,3,3,True,/trends/explore?q=/m/07sbkfb&date=today+12-m&geo=BR,/m/07sbkfb,Java,Linguagem de programação,Oracle
10,10,3,3,True,/trends/explore?q=/m/0268jgk&date=today+12-m&geo=BR,/m/0268jgk,Oracle Linux,Sistema operacional,Oracle
11,11,3,3,True,/trends/explore?q=/m/0fpzzp&date=today+12-m&geo=BR,/m/0fpzzp,Linux,Sistema operacional,Oracle
12,12,3,3,True,/trends/explore?q=/m/020_g&date=today+12-m&geo=BR,/m/020_g,Data,Assunto,Oracle
13,13,2,2,True,/trends/explore?q=/m/04pm6&date=today+12-m&geo=BR,/m/04pm6,Linux,Núcleo,Oracle
14,14,2,2,True,/trends/explore?q=/m/047ms16&date=today+12-m&geo=BR,/m/047ms16,Oracle SQL Developer,Software,Oracle
