,geoname,geocode,quantidade,ferramenta
8,Goiás,BR-GO,17,SAP
9,Maranhão,BR-MA,14,SAP
10,Mato Grosso,BR-MT,16,SAP
11,Mato Grosso do Sul,BR-MS,13,SAP
12,Minas Gerais,BR-MG,25,SAP
13,Paraná,BR-PR,32,SAP
14,Paraíba,BR-PB,16,SAP
15,Pará,BR-PA,13,SAP
16,Pernambuco,BR-PE,21,SAP
17,Piauí,BR-PI,9,SAP
18,Rio Grande do Norte,BR-RN,12,SAP
19,Rio Grande do Sul,BR-RS,29,SAP
20,Rio de Janeiro,BR-RJ,23,SAP
21,Rondônia,BR-RO,12,SAP
22,Roraima,BR-RR,7,SAP
23,Santa Catarina,BR-SC,34,SAP
24,Sergipe,BR-SE,14,SAP
25,São Paulo,BR-SP,59,SAP
26,Tocantins,BR-TO,13,SAP
0,Acre,BR-AC,22,Python
1,Alagoas,BR-AL,43,Python
2,Amapá,BR-AP,23,Python
3,Amazonas,BR-AM,49,Python
4,Bahia,BR-BA,33,Python
5,Ceará,BR-CE,56,Python
6,Distrito Federal,BR-DF,100,Python
7,Espírito Santo,BR-ES,47,Python
8,Goiás,BR-GO,32,Python
9,Maranhão,BR-MA,30,Python
10,Mato Grosso,BR-MT,26,Python
11,Mato Grosso do Sul,BR-MS,34,Python
12,Minas Gerais,BR-MG,50,Python
13,Paraná,BR-PR,58,Python
14,Paraíba,BR-PB,71,Python
15,Pará,BR-PA,30,Python
16,Pernambuco,BR-PE,58,Python
17,Piauí,BR-PI,46,Python
18,Rio Grande do Norte,BR-RN,56,Python
19,Rio Grande do Sul,BR-RS,52,Python
20,Rio de Janeiro,BR-RJ,62,Python
21,Rondônia,BR-RO,30,Python
22,Roraima,BR-RR,27,Python
23,Santa Catarina,BR-SC,66,Python
24,Sergipe,BR-SE,48,Python
25,São Paulo,BR-SP,77,Python
26,Tocantins,BR-TO,32,Python
0,Acre,BR-AC,53,Cloud
1,Alagoas,BR-AL,53,Cloud
2,Amapá,BR-AP,60,Cloud
3,Amazonas,BR-AM,56,Cloud
4,Bahia,BR-BA,56,Cloud
5,Ceará,BR-CE,66,Cloud
6,Distrito Federal,BR-DF,71,Cloud
7,Espírito Santo,BR-ES,56,Cloud
8,Goiás,BR-GO,70,Cloud
9,Maranhão,BR-MA,53,Cloud
10,Mato Grosso,BR-MT,53,Cloud
11,Mato Grosso do Sul,BR-MS,56,Cloud
12,Minas Gerais,BR-MG,65,Cloud
13,Paraná,BR-PR,74,Cloud
14,Paraíba,BR-PB,59,Cloud
15,Pará,BR-PA,54,Cloud
16,Pernambuco,BR-PE,57,Cloud
17,Piauí,BR-PI,57,Cloud
18,Rio Grande do Norte,BR-RN,55,Cloud
19,Rio Grande do Sul,BR-RS,65,Cloud
20,Rio de Janeiro,BR-RJ,72,Cloud
21,Rondônia,BR-RO,46,Cloud
22,Roraima,BR-RR,58,Cloud
23,Santa Catarina,BR-SC,100,Cloud
24,Sergipe,BR-SE,63,Cloud
25,São Paulo,BR-SP,87,Cloud
26,Tocantins,BR-TO,50,Cloud
0,Acre,BR-AC,49,CRM
1,Alagoas,BR-AL,39,CRM
2,Amapá,BR-AP,47,CRM
3,Amazonas,BR-AM,43,CRM
4,Bahia,BR-BA,38,CRM
5,Ceará,BR-CE,37,CRM
6,Distrito Federal,BR-DF,85,CRM
7,Espírito Santo,BR-ES,54,CRM
8,Goiás,BR-GO,58,CRM
9,Maranhão,BR-MA,34,CRM
10,Mato Grosso,BR-MT,59,CRM
11,Mato Grosso do Sul,BR-MS,61,CRM
12,Minas Gerais,BR-MG,65,CRM
13,Paraná,BR-PR,81,CRM
14,Paraíba,BR-PB,57,CRM
15,Pará,BR-PA,39,CRM
16,Pernambuco,BR-PE,38,CRM
17,Piauí,BR-PI,45,CRM
18,Rio Grande do Norte,BR-RN,49,CRM
19,Rio Grande do Sul,BR-RS,58,CRM
20,Rio de Janeiro,BR-RJ,58,CRM
21,Rondônia,BR-RO,45,CRM
22,Roraima,BR-RR,100,CRM
23,Santa Catarina,BR-SC,80,CRM
24,Sergipe,BR-SE,48,CRM
25,São Paulo,BR-SP,76,CRM
26,Tocantins,BR-TO,54,CRM
0,Acre,BR-AC,0,Protheus
1,Alagoas,BR-AL,31,Protheus
2,Amapá,BR-AP,0,Protheus
3,Amazonas,BR-AM,74,Protheus
4,Bahia,BR-BA,20,Protheus
5,Ceará,BR-CE,26,Protheus
6,Distrito Federal,BR-DF,38,Protheus
7,Espírito Santo,BR-ES,56,Protheus
8,Goiás,BR-GO,55,Protheus
9,Maranhão,BR-MA,11,Protheus
10,Mato Grosso,BR-MT,66,Protheus
11,Mato Grosso do Sul,BR-MS,18,Protheus
12,Minas Gerais,BR-MG,48,Protheus
13,Paraná,BR-PR,58,Protheus
14,Paraíba,BR-PB,39,Protheus
15,Pará,BR-PA,21,Protheus
16,Pernambuco,BR-PE,34,Protheus
17,Piauí,BR-PI,10,Protheus
18,Rio Grande do Norte,BR-RN,23,Protheus
19,Rio Grande do Sul,BR-RS,34,Protheus
20,Rio de Janeiro,BR-RJ,31,Protheus
21,Rondônia,BR-RO,19,Protheus
22,Roraima,BR-RR,0,Protheus
23,Santa Catarina,BR-SC,65,Protheus
24,Sergipe,BR-SE,18,Protheus
25,São Paulo,BR-SP,100,Protheus
26,Tocantins,BR-TO,0,Protheus
0,Acre,BR-AC,17,Analytics
1,Alagoas,BR-AL,38,Analytics
2,Amapá,BR-AP,21,Analytics
3,Amazonas,BR-AM,36,Analytics
4,Bahia,BR-BA,32,Analytics
5,Ceará,BR-CE,43,Analytics
6,Distrito Federal,BR-DF,88,Analytics
7,Espírito Santo,BR-ES,51,Analytics
8,Goiás,BR-GO,47,Analytics
9,Maranhão,BR-MA,37,Analytics
10,Mato Grosso,BR-MT,41,Analytics
11,Mato Grosso do Sul,BR-MS,43,Analytics
12,Minas Gerais,BR-MG,48,Analytics
13,Paraná,BR-PR,62,Analytics
14,Paraíba,BR-PB,52,Analytics
15,Pará,BR-PA,29,Analytics
16,Pernambuco,BR-PE,39,Analytics
17,Piauí,BR-PI,37,Analytics
18,Rio Grande do Norte,BR-RN,41,Analytics
19,Rio Grande do Sul,BR-RS,62,Analytics
20,Rio de Janeiro,BR-RJ,58,Analytics
21,Rondônia,BR-RO,32,Analytics
22,Roraima,BR-RR,20,Analytics
23,Santa Catarina,BR-SC,80,Analytics
24,Sergipe,BR-SE,44,Analytics
25,São Paulo,BR-SP,100,Analytics
26,Tocantins,BR-TO,37,Analytics
0,Acre,BR-AC,16,Oracle
1,Alagoas,BR-AL,33,Oracle
2,Amapá,BR-AP,19,Oracle
3,Amazonas,BR-AM,33,Oracle
4,Bahia,BR-BA,20,Oracle
5,Ceará,BR-CE,40,Oracle
6,Distrito Federal,BR-DF,100,Oracle
7,Espírito Santo,BR-ES,45,Oracle
8,Goiás,BR-GO,41,Oracle
9,Maranhão,BR-MA,20,Oracle
10,Mato Grosso,BR-MT,33,Oracle
11,Mato Grosso do Sul,BR-MS,29,Oracle
12,Minas Gerais,BR-MG,39,Oracle
13,Paraná,BR-PR,47,Oracle
14,Paraíba,BR-PB,39,Oracle
15,Pará,BR-PA,23,Oracle
16,Pernambuco,BR-PE,35,Oracle
17,Piauí,BR-PI,24,Oracle
18,Rio Grande do Norte,BR-RN,26,Oracle
19,Rio Grande do Sul,BR-RS,53,Oracle
20,Rio de Janeiro,BR-RJ,49,Oracle
21,Rondônia,BR-RO,26,Oracle
22,Roraima,BR-RR,30,Oracle
23,Santa Catarina,BR-SC,64,Oracle
24,Sergipe,BR-SE,28,Oracle
25,São Paulo,BR-SP,77,Oracle
26,Tocantins,BR-TO,22,Oracle
0,Acre,BR-AC,73,R
1,Alagoas,BR-AL,77,R
2,Amapá,BR-AP,85,R
3,Amazonas,BR-AM,81,R
4,Bahia,BR-BA,78,R
5,Ceará,BR-CE,82,R
6,Distrito Federal,BR-DF,91,R
7,Espírito Santo,BR-ES,77,R
8,Goiás,BR-GO,79,R
9,Maranhão,BR-MA,88,R
10,Mato Grosso,BR-MT,77,R
11,Mato Grosso do Sul,BR-MS,76,R
12,Minas Gerais,BR-MG,87,R
13,Paraná,BR-PR,98,R
14,Paraíba,BR-PB,83,R
15,Pará,BR-PA,75,R
16,Pernambuco,BR-PE,83,R
17,Piauí,BR-PI,100,R
18,Rio Grande do Norte,BR-RN,85,R
19,Rio Grande do Sul,BR-RS,87,R
20,Rio de Janeiro,BR-RJ,80,R
21,Rondônia,BR-RO,72,R
22,Roraima,BR-RR,89,R
23,Santa Catarina,BR-SC,82,R
24,Sergipe,BR-SE,76,R
25,São Paulo,BR-SP,100,R
26,Tocantins,BR-TO,69,R
0,Acre,BR-AC,0,Azure
