,date,quantidade,isPartial,ferramenta
7,2022-01-30,81,False,Power BI
8,2022-02-06,88,False,Power BI
9,2022-02-13,83,False,Power BI
10,2022-02-20,80,False,Power BI
11,2022-02-27,62,False,Power BI
12,2022-03-06,76,False,Power BI
13,2022-03-13,80,False,Power BI
14,2022-03-20,87,False,Power BI
15,2022-03-27,78,False,Power BI
16,2022-04-03,84,False,Power BI
17,2022-04-10,79,False,Power BI
18,2022-04-17,71,False,Power BI
19,2022-04-24,89,False,Power BI
20,2022-05-01,86,False,Power BI
21,2022-05-08,86,False,Power BI
22,2022-05-15,0,False,Power BI
23,2022-05-22,100,False,Power BI
24,2022-05-29,95,False,Power BI
25,2022-06-05,0,False,Power BI
26,2022-06-12,79,False,Power BI
27,2022-06-19,93,False,Power BI
28,2022-06-26,97,False,Power BI
29,2022-07-03,0,False,Power BI
30,2022-07-10,0,False,Power BI
31,2022-07-17,95,False,Power BI
32,2022-07-24,92,False,Power BI
33,2022-07-31,92,False,Power BI
34,2022-08-07,97,False,Power BI
35,2022-08-14,99,False,Power BI
36,2022-08-21,99,False,Power BI
37,2022-08-28,95,False,Power BI
38,2022-09-04,81,False,Power BI
39,2022-09-11,98,False,Power BI
40,2022-09-18,0,False,Power BI
41,2022-09-25,90,False,Power BI
42,2022-10-02,76,False,Power BI
43,2022-10-09,78,False,Power BI
44,2022-10-16,88,False,Power BI
45,2022-10-23,87,False,Power BI
46,2022-10-30,0,False,Power BI
47,2022-11-06,81,False,Power BI
48,2022-11-13,74,False,Power BI
49,2022-11-20,72,False,Power BI
50,2022-11-27,72,False,Power BI
0,2021-12-12,49,False,Banco de Dados
1,2021-12-19,34,False,Banco de Dados
2,2021-12-26,42,False,Banco de Dados
3,2022-01-02,50,False,Banco de Dados
4,2022-01-09,65,False,Banco de Dados
5,2022-01-16,60,False,Banco de Dados
6,2022-01-23,58,False,Banco de Dados
7,2022-01-30,67,False,Banco de Dados
8,2022-02-06,75,False,Banco de Dados
9,2022-02-13,88,False,Banco de Dados
10,2022-02-20,83,False,Banco de Dados
11,2022-02-27,65,False,Banco de Dados
12,2022-03-06,83,False,Banco de Dados
13,2022-03-13,82,False,Banco de Dados
14,2022-03-20,83,False,Banco de Dados
15,2022-03-27,93,False,Banco de Dados
16,2022-04-03,99,False,Banco de Dados
17,2022-04-10,75,False,Banco de Dados
18,2022-04-17,84,False,Banco de Dados
19,2022-04-24,100,False,Banco de Dados
20,2022-05-01,86,False,Banco de Dados
21,2022-05-08,89,False,Banco de Dados
22,2022-05-15,85,False,Banco de Dados
23,2022-05-22,90,False,Banco de Dados
24,2022-05-29,90,False,Banco de Dados
25,2022-06-05,79,False,Banco de Dados
26,2022-06-12,79,False,Banco de Dados
27,2022-06-19,77,False,Banco de Dados
28,2022-06-26,77,False,Banco de Dados
29,2022-07-03,66,False,Banco de Dados
30,2022-07-10,68,False,Banco de Dados
31,2022-07-17,70,False,Banco de Dados
32,2022-07-24,69,False,Banco de Dados
33,2022-07-31,72,False,Banco de Dados
34,2022-08-07,68,False,Banco de Dados
35,2022-08-14,78,False,Banco de Dados
36,2022-08-21,73,False,Banco de Dados
37,2022-08-28,80,False,Banco de Dados
38,2022-09-04,73,False,Banco de Dados
39,2022-09-11,83,False,Banco de Dados
40,2022-09-18,83,False,Banco de Dados
41,2022-09-25,83,False,Banco de Dados
42,2022-10-02,71,False,Banco de Dados
43,2022-10-09,75,False,Banco de Dados
44,2022-10-16,76,False,Banco de Dados
45,2022-10-23,85,False,Banco de Dados
46,2022-10-30,68,False,Banco de Dados
47,2022-11-06,90,False,Banco de Dados
48,2022-11-13,87,False,Banco de Dados
49,2022-11-20,77,False,Banco de Dados
50,2022-11-27,85,False,Banco de Dados
0,2021-12-12,45,False,Pacote Office
1,2021-12-19,27,False,Pacote Office
2,2021-12-26,35,False,Pacote Office
3,2022-01-02,76,False,Pacote Office
4,2022-01-09,92,False,Pacote Office
5,2022-01-16,78,False,Pacote Office
6,2022-01-23,89,False,Pacote Office
7,2022-01-30,86,False,Pacote Office
8,2022-02-06,94,False,Pacote Office
9,2022-02-13,100,False,Pacote Office
10,2022-02-20,94,False,Pacote Office
11,2022-02-27,80,False,Pacote Office
12,2022-03-06,88,False,Pacote Office
13,2022-03-13,96,False,Pacote Office
14,2022-03-20,93,False,Pacote Office
15,2022-03-27,86,False,Pacote Office
16,2022-04-03,77,False,Pacote Office
17,2022-04-10,68,False,Pacote Office
18,2022-04-17,73,False,Pacote Office
19,2022-04-24,85,False,Pacote Office
20,2022-05-01,80,False,Pacote Office
21,2022-05-08,81,False,Pacote Office
22,2022-05-15,79,False,Pacote Office
23,2022-05-22,77,False,Pacote Office
24,2022-05-29,79,False,Pacote Office
25,2022-06-05,70,False,Pacote Office
26,2022-06-12,68,False,Pacote Office
27,2022-06-19,72,False,Pacote Office
28,2022-06-26,69,False,Pacote Office
29,2022-07-03,73,False,Pacote Office
30,2022-07-10,74,False,Pacote Office
31,2022-07-17,71,False,Pacote Office
32,2022-07-24,66,False,Pacote Office
33,2022-07-31,81,False,Pacote Office
34,2022-08-07,77,False,Pacote Office
35,2022-08-14,76,False,Pacote Office
36,2022-08-21,73,False,Pacote Office
37,2022-08-28,74,False,Pacote Office
38,2022-09-04,71,False,Pacote Office
39,2022-09-11,70,False,Pacote Office
40,2022-09-18,66,False,Pacote Office
41,2022-09-25,75,False,Pacote Office
42,2022-10-02,55,False,Pacote Office
